,0,1,2,3
[34 45],-0.4090582352763916,-0.4339714141980627,-7.66689930466289,-9.003356850091315
[35 45],-0.44107939507163824,-7.645740996298828,-0.4427453396211988,-10.002122609548818
[35 44],-9.61524925845703,-9.966790063623733,-0.4390775698856012,-0.4569148881110303
[35 43],-9.604076681933392,-10.162182289717094,-0.4363712117066602,-0.46012480374953324
[35 42],-9.956002981465588,-9.650772020041309,-0.4714560359962541,-0.4594007030194337
[35 41],-9.551012318144533,-7.665558607356006,-0.4452396683964368,-0.4722862981487104
[35 40],-9.48928453125,-8.948067520691957,-0.44414600066314214,-0.4586555026671461
[35 39],-7.543875,-0.44880405795559075,-9.976430618889111,-0.45325631468160665
[36 39],-0.45391021097597994,-0.4481450479802676,-7.660631743493409,-9.625306701506105
[37 39],-0.46224158521380443,-9.477290625,-9.683618857577738,-0.4427225192737059
[37 40],-7.5495,-9.552749460968116,-0.465614187088465,-0.4431721163823359
[37 41],-8.93820779391302,-7.651601574990234,-0.4595533920575342,-0.4441925423270875
[37 42],-10.124089170870409,-7.65004587252041,-0.44770014040064726,-0.42334836201562503
[37 43],-9.930384097883545,-0.43322078941053227,-0.4509556599786834,-0.4384173169243226
[38 43],-0.41825618356860356,-0.44072053893034735,-8.97649936221582,-9.626311903526513
[39 43],-0.4431003301416261,-0.47153712143882176,-5.0,-8.8158125
[40 43],-0.466413282261388,-0.4577570466364566,-8.75,-10.23287624458205
[37 44],-8.87749480859375,-9.928424768959411,-0.4647278847085708,-0.4658974575724827
[37 45],-9.611070115193188,-9.690788406831139,-0.48024642039619325,-0.485141838758017
[37 46],-8.879116250000001,-10.291842477631103,-0.4962232557417862,-0.49415244114851176
[37 47],-9.511049765625,-0.497914917838855,-0.5064892576118561,-8.976939577791915
[38 47],-0.5223034125000825,-0.5159758700082464,-5.0,-8.912259626357422
[39 47],-0.5384143070628855,-0.5254735233190311,-8.99887330365651,-10.24183944111569
[40 47],-0.5442813496182466,-0.5231543710080322,-10.167758649137946,-9.868955345703124
[41 47],-0.5411952731823393,-9.719657824634885,-9.700542938313102,-0.5296261790981383
[41 48],-10.18433417870575,-9.94019383701259,-0.537349804279259,-0.5139057411122318
[41 49],-0.5124889511086519,-0.4974912040101768,-0.5267527872577126,-9.638076186935677
[42 49],-0.5025428448514422,-0.4951619810208141,-10.315490943287356,-10.127591808659034
[40 49],-0.5288526332368655,-0.5202804827505418,-9.726595964635905,-9.705601283280586
[43 49],-0.5082466991913828,-9.630999206227148,-8.859063335937499,-0.49170483203518367
[43 50],-7.703676079395303,-5.0,-0.51214090203386,-0.49752211145821557
[43 51],-10.020314705664177,-8.895382484375,-0.5066031452293411,-0.5028474238510274
[43 52],-9.572430076762208,-7.56496875,-0.5002124667243842,-0.4719950228355949
[43 53],-0.4874903471332723,-10.228724414793085,-0.4954821136502843,-8.98245142486537
[42 53],-0.4869690547064829,-0.5020849646843348,-10.1678462625,-9.978048446324324
[41 53],-9.555832187913575,-0.4988867471592792,-0.5238888992424082,-7.6199421421875
[41 52],-10.05343795952921,-9.072617032802384,-0.5092635788202778,-0.5141813363634058
[41 51],-8.970318781652498,-7.608450703125,-5.0,-0.5174034519789485
[39 49],-10.14052399258799,-0.527298848283918,-7.5991034296875,-0.5204411429838633
[39 50],-10.423989864716344,-10.251962746766093,-0.5209163698159849,-0.5803781403014907
[39 51],-9.731262747564074,-10.075687999211423,-0.5501146559179977,-0.5650076922089727
[39 52],-9.92807893611424,-9.712337831000875,-0.5698847499088446,-0.5560894910053038
[39 53],-10.230689720494748,-10.372073095518225,-0.5706879233606839,-0.5220708484881951
[39 54],-9.71402659087039,-9.724129387814878,-0.5353300190303814,-0.5212500342507677
[39 55],-9.029520913566502,-0.5231383348880267,-0.5366349747337296,-9.607720117688462
[40 55],-0.5384775432852239,-0.5319364989407724,-9.697826958177512,-10.050712087056707
[41 55],-0.5424385895310988,-0.5388856191797776,-10.199443078679922,-7.733892033806645
[42 55],-0.5498645660674091,-0.5141762147022744,-9.60907123464031,-10.029537706024007
[43 55],-0.5364086587436486,-0.5496161960483941,-10.265755798453345,-0.5421966115736637
[44 55],-0.5387320841760023,-0.5225719679475069,-10.371658628762189,-10.33274632511204
[43 56],-10.054322448399233,-10.23577745022444,-0.5474301957666383,-0.5794974260146987
[43 57],-10.250631706691562,-9.5404829296875,-0.5713824373771886,-0.5735899142486249
[43 58],-8.966627938595703,-10.314101262904751,-0.5730381269578647,-0.5745669689418268
[43 59],-0.5877904247558579,-10.307390731852133,-0.581396862998506,-10.431935491959429
[45 55],-0.5057585753930234,-8.8919830859375,-10.068119789233197,-0.5070030311155657
[45 56],-7.664950064925952,-10.046956171289064,-0.5257275366707643,-0.4635769655012798
[45 57],-9.529600618183593,-9.665241410281652,-0.47568023970685364,-0.4713814635744873
[45 58],-5.0,-8.976938865574708,-0.4832602982119206,-8.94883887040918
[42 59],-0.5927781603090938,-0.586328392858541,-10.312841846835452,-10.454025323653667
[41 59],-9.071279113235779,-0.5982302535566324,-7.6789434034570485,-0.5942116773074755
[41 60],-10.069630107622721,-10.103525706188321,-0.6059876213342101,-0.6285668571823719
[41 61],-10.414800976178462,-0.6003676860926292,-0.5958622197471619,-10.26499280399721
[42 61],-0.5950867086945519,-0.6061641914754278,-9.721507794290442,-10.127113071915865
[43 61],-0.6153752807858972,-0.6039252929022128,-10.091325335150428,-10.125047967868355
[44 61],-0.6183006081959243,-0.6018247800876465,-9.704566771547238,-9.704492892491904
[45 61],-0.6096603974407799,-0.6193414670991128,-10.323567998883533,-10.087437630167745
[46 61],-0.6163277133515235,-0.6029467686066132,-10.321082829727736,-10.468424032105196
[47 61],-0.6145882265341427,-10.288108108653939,-0.606195451684403,-9.04057193591908
[47 60],-10.334331123313785,-10.34452847873963,-0.6254622061489759,-0.6260240553418259
[47 59],-10.15639445037015,-8.977649517380616,-0.6231022061567608,-0.6338907461208552
[47 58],-10.441000541505353,-10.416287505140769,-0.59586319910046,-0.6342305773222949
[47 57],-10.400361841627689,-10.222521691180487,-0.5826247576248513,-0.600300110550912
[47 56],-9.681157850465791,-9.972666793863588,-0.5732134696042737,-0.5781046732618229
[47 55],-10.356647618285773,-7.748733223367076,-0.576930715433086,-0.5725884300224814
[47 54],-10.315472876829688,-9.671729562914397,-0.5749009280577633,-0.5802621805106175
[47 53],-0.5811233675996434,-10.375795582819737,-0.5719774568600888,-0.5819266129520257
[46 53],-0.5718107219220199,-0.5854363852290847,-9.97361006132909,-10.134971366622803
[47 52],-8.793875,-10.41504776746394,-0.5760032160066012,-0.5775332617932022
[45 53],-10.328784033191422,-0.5818132437433184,-0.5596399805280124,-9.969901971586609
[47 51],-9.720470124467354,-5.0,-5.0,-0.5636194099468385
[45 52],-10.228967518465218,-10.078993589946965,-0.5340404097169166,-0.566561464834122
[45 51],-7.53375,-7.707405322581513,-0.5092403869051487,-0.5282002219598305
[45 50],-9.963352097236754,-7.677079158346366,-0.5166492992405463,-0.5218352243333575
[45 49],-7.672562934859717,-0.5277310692336159,-10.036968606818599,-0.5254689853223857
[46 49],-0.520904681275373,-0.5271185941294112,-10.0401497337662,-9.628095875958252
[47 49],-0.5330244349332542,-8.916912476240235,-0.5379004764425995,-7.68036275779248
[47 48],-9.039615470444826,-7.733920621278788,-0.534384582450302,-0.5312740345414786
[47 47],-10.35944609162648,-9.593070668979493,-0.5294984646137708,-0.5456094286046218
[47 46],-10.196331075937625,-10.209463049885706,-0.5249486750552377,-0.5439784855129229
[47 45],-0.4959714476185674,-10.184708088293558,-0.518080378279693,-0.5379972722219739
[46 45],-0.4898441682872603,-0.49685430141414255,-8.90801913088086,-9.674178726721749
[45 45],-10.140880323332043,-0.4854963798535425,-9.909320581425781,-0.48374180712354536
[45 46],-10.294450085015537,-10.280175847284184,-0.49496588399866287,-0.47380238197000346
[47 44],-10.269441628549593,-8.94830124217913,-0.5130391125525514,-0.523150967784572
[47 43],-0.5086751351841216,-9.013624547624305,-5.0,-0.521765620040767
[46 43],-0.5135024491052306,-0.5239888161020605,-9.602879674282116,-10.214482791214955
[45 43],-10.381731507114806,-0.5278181432692486,-0.5278701494523057,-10.001361778159836
[45 42],-7.57631015625,-9.03899979942231,-0.5470339116977809,-0.5319228989401392
[45 41],-9.58384512361333,-9.092016236481646,-0.5412786325312543,-0.5445923768846465
[45 47],-0.42842016304907715,-9.425625,-0.49753826975140786,-10.053284538131983
[44 47],-0.41817638202945556,-0.41265405625317386,-8.87599015625,-5.0
[45 40],-10.253883272843273,-9.732952982316124,-0.5341730612361102,-0.5479299100469632
[45 39],-10.143244474842865,-0.5377307947978689,-8.88465834453125,-0.5463549238348155
[46 39],-0.5482145854663896,-0.5324555085864489,-10.293721754131877,-9.71438364418411
[47 39],-0.53568108649824,-10.034265913666609,-7.718306997354237,-0.5317990027855556
[47 40],-9.635430258713203,-10.01500166512911,-0.5203682485988835,-0.5188056035654409
[47 41],-8.873762051562501,-8.8489240625,-0.5226713448346703,-8.8489240625
[43 47],-9.938990153782921,-0.4384264105010742,-0.41725955343996585,-7.5
[43 46],-9.599360181365626,-8.885048937499999,-0.39048443081250006,-0.43735623137885504
[43 45],-9.897542733535156,-8.972134380136719,-0.37383189786621096,-0.40026781848925785
[43 44],-8.8576625,-9.903919049316407,-0.389154036366211,-0.4042191059750977
[43 43],-10.080571933520508,-10.327124377641905,-0.4072526405570802,-0.40405084394238283
[43 42],-7.5225,-8.94215237117854,-0.37973851041640627,-0.4062938075324708
[43 41],-8.85208953125,-5.0,-0.40160577377612305,-0.37249615199023445
[43 40],-9.578837097572753,-9.906288819984862,-0.3940361183919214,-0.3853122874121094
[43 39],-0.35570691333198245,-7.5225,-8.87429491484375,-0.39092960325292975
[42 39],-0.374967776334961,-0.3634112966796875,-8.944285430910107,-9.622136061665039
[41 39],-10.245436585561524,-0.3771626664697266,-9.50002377103711,-0.3574493206453614
[41 40],-5.0,-8.8787421875,-0.35725635530029304,-0.35287705289062504
[41 41],-0.3747685574853516,-7.60728418359375,-0.35707555619223635,-7.638277649179687
[40 41],-0.3729138676582032,-0.38458554999353767,-9.8774187453125,-8.895555201757812
