,state,action_space,reward,Q,action
0,[37 60],u,-10,-5.0,0
1,[37 60],r,-0.1,-0.05,2
2,[37 59],l,-10,-5.0,3
3,[37 59],d,-10,-5.0,1
4,[37 59],r,-10,-5.0,2
5,[37 59],u,-0.1,-0.05,0
6,[36 59],r,-10,-5.0,2
7,[36 59],d,-0.1,-0.07250000000000001,1
8,[37 59],u,-0.1,-0.07500000000000001,0
9,[36 59],u,-0.1,-0.05,0
10,[35 59],u,-10,-5.0,0
11,[35 59],l,-10,-5.0,3
12,[35 59],r,-0.1,-0.05,2
13,[35 58],l,-0.1,-0.05,3
14,[35 59],d,-0.1,-0.05,1
15,[36 59],r,-10,-7.5,2
16,[36 59],l,-10,-5.0,3
17,[36 59],u,-0.1,-0.0975,0
18,[35 59],l,-10,-7.5225,3
19,[35 59],r,-0.1,-0.07500000000000001,2
20,[35 58],d,-10,-5.0,1
21,[35 58],u,-10,-5.0,0
22,[35 58],r,-0.1,-0.05,2
23,[35 57],l,-0.1,-0.07250000000000001,3
24,[35 58],l,-0.1,-0.0975,3
25,[35 59],u,-10,-7.5225,0
26,[35 59],d,-0.1,-0.107625,1
27,[36 59],d,-0.1,-0.12000000000000002,1
28,[37 59],r,-10,-7.53375,2
29,[37 59],u,-0.1,-0.13137500000000002,0
30,[36 59],u,-0.1,-0.1325,0
31,[35 59],r,-0.1,-0.11000000000000001,2
32,[35 58],r,-0.1,-0.07500000000000001,2
33,[35 57],d,-10,-5.0,1
34,[35 57],r,-0.1,-0.05,2
35,[35 56],r,-0.1,-0.05,2
36,[35 55],r,-0.1,-0.05,2
37,[35 54],d,-10,-5.0,1
38,[35 54],u,-10,-5.0,0
39,[35 54],l,-0.1,-0.05,3
40,[35 55],d,-0.1,-0.05,1
41,[36 55],r,-10,-5.0,2
42,[36 55],l,-10,-5.0,3
43,[36 55],l,-10,-7.5,3
44,[36 55],u,-0.1,-0.05,0
45,[35 55],r,-0.1,-0.07500000000000001,2
46,[35 54],r,-0.1,-0.05,2
47,[35 53],u,-10,-5.0,0
48,[35 53],l,-0.1,-0.07250000000000001,3
49,[35 54],l,-0.1,-0.07500000000000001,3
50,[35 55],u,-10,-5.0,0
51,[35 55],l,-0.1,-0.05,3
52,[35 56],u,-10,-5.0,0
53,[35 56],d,-10,-5.0,1
54,[35 56],d,-10,-7.5,1
55,[35 56],l,-0.1,-0.05,3
56,[35 57],u,-10,-5.0,0
57,[35 57],r,-0.1,-0.0975,2
58,[35 56],l,-0.1,-0.107625,3
59,[35 57],l,-0.1,-0.12000000000000002,3
60,[35 58],r,-0.1,-0.13137500000000002,2
61,[35 57],u,-10,-7.543875,0
62,[35 57],r,-0.1,-0.12125000000000001,2
63,[35 56],r,-0.1,-0.0975,2
64,[35 55],r,-0.1,-0.11000000000000001,2
65,[35 54],r,-0.1,-0.07500000000000001,2
66,[35 53],d,-0.1,-0.05,1
67,[36 53],r,-10,-5.0,2
68,[36 53],u,-0.1,-0.05,0
69,[35 53],d,-0.1,-0.07500000000000001,1
70,[36 53],l,-10,-5.0,3
71,[36 53],l,-10,-7.5,3
72,[36 53],d,-0.1,-0.05,1
73,[37 53],l,-10,-5.0,3
74,[37 53],d,-10,-5.0,1
75,[37 53],r,-0.1,-0.05,2
76,[37 52],r,-0.1,-0.05,2
77,[37 51],d,-10,-5.0,1
78,[37 51],u,-10,-5.0,0
79,[37 51],l,-0.1,-0.05,3
80,[37 52],d,-10,-5.0,1
81,[37 52],u,-10,-5.0,0
82,[37 52],l,-0.1,-0.05,3
83,[37 53],d,-10,-7.5,1
84,[37 53],u,-0.1,-0.07250000000000001,0
85,[36 53],u,-0.1,-0.07500000000000001,0
86,[35 53],r,-10,-5.0,2
87,[35 53],l,-0.1,-0.12000000000000002,3
88,[35 54],l,-0.1,-0.11000000000000001,3
89,[35 55],d,-0.1,-0.07500000000000001,1
90,[36 55],u,-0.1,-0.0975,0
91,[35 55],l,-0.1,-0.11887500000000002,3
92,[35 56],r,-0.1,-0.1325,2
93,[35 55],r,-0.1,-0.13875000000000004,2
94,[35 54],u,-10,-7.53375,0
95,[35 54],r,-0.1,-0.12125000000000002,2
96,[35 53],d,-0.1,-0.11000000000000001,1
97,[36 53],u,-0.1,-0.137,0
98,[35 53],d,-0.1,-0.1275,1
99,[36 53],d,-0.1,-0.0975,1
100,[37 53],r,-0.1,-0.0975,2
101,[37 52],r,-0.1,-0.07500000000000001,2
102,[37 51],d,-10,-7.5,1
103,[37 51],l,-0.1,-0.0975,3
104,[37 52],d,-10,-7.5225,1
105,[37 52],l,-0.1,-0.107625,3
106,[37 53],u,-0.1,-0.13012500000000002,0
107,[36 53],d,-0.1,-0.142625,1
108,[37 53],r,-0.1,-0.1325,2
109,[37 52],r,-0.1,-0.08750000000000001,2
110,[37 51],l,-0.1,-0.138125,3
111,[37 52],r,-0.1,-0.09375,2
112,[37 51],r,-0.1,-0.05,2
113,[37 50],d,-10,-5.0,1
114,[37 50],l,-0.1,-0.07250000000000001,3
115,[37 51],r,-0.1,-0.07500000000000001,2
116,[37 50],u,-10,-5.0,0
117,[37 50],r,-0.1,-0.05,2
118,[37 49],u,-0.1,-0.05,0
119,[36 49],u,-0.1,-0.05,0
120,[35 49],l,-0.1,-0.05,3
121,[35 50],d,-10,-5.0,1
122,[35 50],l,-0.1,-0.05,3
123,[35 51],u,-10,-5.0,0
124,[35 51],r,-0.1,-0.05,2
125,[35 50],u,-10,-5.0,0
126,[35 50],l,-0.1,-0.07500000000000001,3
127,[35 51],d,-10,-5.0,1
128,[35 51],l,-10,-5.0,3
129,[35 51],u,-10,-7.5225,0
130,[35 51],r,-0.1,-0.07500000000000001,2
131,[35 50],r,-0.1,-0.05,2
132,[35 49],l,-0.1,-0.0975,3
133,[35 50],u,-10,-7.5225,0
134,[35 50],r,-0.1,-0.07500000000000001,2
135,[35 49],d,-0.1,-0.05,1
136,[36 49],d,-0.1,-0.05,1
137,[37 49],l,-0.1,-0.07250000000000001,3
138,[37 50],r,-0.1,-0.07500000000000001,2
139,[37 49],d,-10,-5.0,1
140,[37 49],r,-10,-5.0,2
141,[37 49],r,-10,-7.5225,2
142,[37 49],u,-0.1,-0.07500000000000001,0
143,[36 49],l,-10,-5.0,3
144,[36 49],r,-10,-5.0,2
145,[36 49],u,-0.1,-0.07500000000000001,0
146,[35 49],u,-10,-5.0,0
147,[35 49],l,-0.1,-0.1325,3
148,[35 50],l,-0.1,-0.12125000000000002,3
149,[35 51],d,-10,-7.53375,1
150,[35 51],r,-0.1,-0.12125000000000002,2
151,[35 50],r,-0.1,-0.08750000000000001,2
152,[35 49],r,-0.1,-0.05,2
153,[35 48],l,-0.1,-0.07250000000000001,3
154,[35 49],l,-0.1,-0.155625,3
155,[35 50],r,-0.1,-0.11625000000000002,2
156,[35 49],r,-0.1,-0.07500000000000001,2
157,[35 48],r,-0.1,-0.05,2
158,[35 47],d,-10,-5.0,1
159,[35 47],l,-0.1,-0.05,3
160,[35 48],d,-10,-5.0,1
161,[35 48],r,-0.1,-0.07500000000000001,2
162,[35 47],u,-10,-5.0,0
163,[35 47],r,-10,-5.0,2
164,[35 47],l,-0.1,-0.07500000000000001,3
165,[35 48],u,-10,-5.0,0
166,[35 48],d,-10,-7.532625,1
167,[35 48],l,-0.1,-0.10875000000000001,3
168,[35 49],d,-0.1,-0.0975,1
169,[36 49],d,-0.1,-0.107625,1
170,[37 49],l,-0.1,-0.11887500000000001,3
171,[37 50],l,-0.1,-0.12000000000000002,3
172,[37 51],r,-0.1,-0.12125000000000002,2
173,[37 50],r,-0.1,-0.12125000000000002,2
174,[37 49],u,-0.1,-0.12125000000000002,0
175,[36 49],l,-10,-7.53375,3
176,[36 49],l,-10,-8.800625,3
177,[36 49],u,-0.1,-0.12125000000000002,0
178,[35 49],u,-10,-7.53375,0
179,[35 49],u,-10,-8.800625,0
180,[35 49],r,-0.1,-0.12125000000000002,2
181,[35 48],u,-10,-7.53375,0
182,[35 48],r,-0.1,-0.12125000000000002,2
183,[35 47],l,-0.1,-0.13643750000000002,3
184,[35 48],l,-0.1,-0.14825000000000002,3
185,[35 49],d,-0.1,-0.14718124999999999,1
186,[36 49],u,-0.1,-0.16518750000000004,0
187,[35 49],r,-0.1,-0.16518750000000004,2
188,[35 48],l,-0.1,-0.1903565625,3
189,[35 49],d,-0.1,-0.172021875,1
190,[36 49],d,-0.1,-0.15730625,1
191,[37 49],l,-0.1,-0.1634375,3
192,[37 50],l,-0.1,-0.16456250000000003,3
193,[37 51],r,-0.1,-0.16518750000000004,2
194,[37 50],r,-0.1,-0.16518750000000004,2
195,[37 49],r,-10,-8.8158125,2
196,[37 49],u,-0.1,-0.18141281250000002,0
197,[36 49],r,-10,-7.5707878125,2
198,[36 49],u,-0.1,-0.20262500000000003,0
199,[35 49],l,-0.1,-0.18012500000000004,3
200,[35 50],r,-0.1,-0.18245937500000003,2
201,[35 49],l,-0.1,-0.19462500000000005,3
202,[35 50],l,-0.1,-0.16518750000000004,3
203,[35 51],r,-0.1,-0.18495937500000004,2
204,[35 50],l,-0.1,-0.21582546875000003,3
205,[35 51],r,-0.1,-0.22458640625000004,2
206,[35 50],r,-0.1,-0.21556406250000004,2
207,[35 49],r,-0.1,-0.18715625000000002,2
208,[35 48],r,-0.1,-0.17202187500000002,2
209,[35 47],r,-10,-7.561396875,2
210,[35 47],l,-0.1,-0.19562859375000002,3
211,[35 48],r,-0.1,-0.22404380468750001,2
212,[35 47],l,-0.1,-0.23347475,3
213,[35 48],l,-0.1,-0.222588125,3
214,[35 49],d,-0.1,-0.20679875,1
215,[36 49],d,-0.1,-0.20220000000000002,1
216,[37 49],l,-0.1,-0.20577187500000002,3
217,[37 50],l,-0.1,-0.19443750000000004,3
218,[37 51],l,-0.1,-0.16125,3
219,[37 52],r,-0.1,-0.16943750000000002,2
220,[37 51],l,-0.1,-0.17905625,3
221,[37 52],l,-0.1,-0.16236875,3
222,[37 53],u,-0.1,-0.1767125,0
223,[36 53],u,-0.1,-0.17250000000000001,0
224,[35 53],l,-0.1,-0.15950000000000003,3
225,[35 54],l,-0.1,-0.13875000000000004,3
226,[35 55],d,-0.1,-0.08750000000000001,1
227,[36 55],d,-0.1,-0.05,1
228,[37 55],d,-10,-5.0,1
229,[37 55],u,-0.1,-0.07250000000000001,0
230,[36 55],l,-10,-8.7725,3
231,[36 55],d,-0.1,-0.07500000000000001,1
232,[37 55],r,-10,-5.0,2
233,[37 55],u,-0.1,-0.12000000000000002,0
234,[36 55],d,-0.1,-0.08750000000000001,1
235,[37 55],r,-10,-7.5,2
236,[37 55],l,-0.1,-0.05,3
237,[37 56],u,-10,-5.0,0
238,[37 56],l,-0.1,-0.05,3
239,[37 57],r,-0.1,-0.05,2
240,[37 56],l,-0.1,-0.07500000000000001,3
241,[37 57],u,-10,-5.0,0
242,[37 57],l,-10,-5.0,3
243,[37 57],d,-0.1,-0.05,1
244,[38 57],r,-10,-5.0,2
245,[38 57],u,-0.1,-0.07250000000000001,0
246,[37 57],r,-0.1,-0.07500000000000001,2
247,[37 56],l,-0.1,-0.11000000000000001,3
248,[37 57],d,-0.1,-0.07500000000000001,1
249,[38 57],d,-0.1,-0.05,1
250,[39 57],r,-10,-5.0,2
251,[39 57],u,-0.1,-0.05,0
252,[38 57],d,-0.1,-0.07500000000000001,1
253,[39 57],l,-0.1,-0.05,3
254,[39 58],l,-0.1,-0.05,3
255,[39 59],r,-0.1,-0.05,2
256,[39 58],u,-10,-5.0,0
257,[39 58],d,-10,-5.0,1
258,[39 58],r,-0.1,-0.05,2
259,[39 57],d,-0.1,-0.05,1
260,[40 57],u,-0.1,-0.07250000000000001,0
261,[39 57],l,-0.1,-0.0975,3
262,[39 58],l,-0.1,-0.07500000000000001,3
263,[39 59],d,-10,-5.0,1
264,[39 59],d,-10,-7.5,1
265,[39 59],l,-0.1,-0.05,3
266,[39 60],d,-10,-5.0,1
267,[39 60],u,-10,-5.0,0
268,[39 60],r,-0.1,-0.05,2
269,[39 59],u,-10,-5.0,0
270,[39 59],r,-0.1,-0.0975,2
271,[39 58],r,-0.1,-0.0975,2
272,[39 57],d,-0.1,-0.07500000000000001,1
273,[40 57],r,-10,-5.0,2
274,[40 57],d,-0.1,-0.05,1
275,[41 57],d,-10,-5.0,1
276,[41 57],u,-0.1,-0.05,0
277,[40 57],r,-10,-7.5,2
278,[40 57],l,-10,-5.0,3
279,[40 57],d,-0.1,-0.07500000000000001,1
280,[41 57],u,-0.1,-0.107625,0
281,[40 57],u,-0.1,-0.10875000000000001,0
282,[39 57],l,-0.1,-0.1325,3
283,[39 58],l,-0.1,-0.11000000000000001,3
284,[39 59],l,-0.1,-0.07500000000000001,3
285,[39 60],l,-0.1,-0.05,3
286,[39 61],l,-0.1,-0.05,3
287,[39 62],l,-0.1,-0.05,3
288,[39 63],r,-0.1,-0.05,2
289,[39 62],r,-0.1,-0.05,2
290,[39 61],d,-10,-5.0,1
291,[39 61],u,-0.1,-0.05,0
292,[38 61],d,-0.1,-0.05,1
293,[39 61],d,-10,-7.5,1
294,[39 61],d,-10,-8.75,1
295,[39 61],r,-0.1,-0.07250000000000001,2
296,[39 60],l,-0.1,-0.0975,3
297,[39 61],u,-0.1,-0.07500000000000001,0
298,[38 61],r,-10,-5.0,2
299,[38 61],u,-0.1,-0.05,0
300,[37 61],u,-0.1,-0.05,0
301,[36 61],r,-10,-5.0,2
302,[36 61],u,-0.1,-0.05,0
303,[35 61],l,-10,-5.0,3
304,[35 61],d,-0.1,-0.05,1
305,[36 61],d,-0.1,-0.05,1
306,[37 61],r,-10,-5.0,2
307,[37 61],r,-10,-7.5,2
308,[37 61],d,-0.1,-0.05,1
309,[38 61],l,-10,-5.0,3
310,[38 61],u,-0.1,-0.07500000000000001,0
311,[37 61],u,-0.1,-0.07500000000000001,0
312,[36 61],l,-10,-5.0,3
313,[36 61],u,-0.1,-0.07500000000000001,0
314,[35 61],u,-0.1,-0.05,0
315,[34 61],d,-0.1,-0.05,1
316,[35 61],u,-0.1,-0.07500000000000001,0
317,[34 61],u,-0.1,-0.05,0
318,[33 61],u,-10,-5.0,0
319,[33 61],d,-0.1,-0.05,1
320,[34 61],l,-10,-5.0,3
321,[34 61],l,-10,-7.5,3
322,[34 61],r,-10,-5.0,2
323,[34 61],u,-0.1,-0.07500000000000001,0
324,[33 61],d,-0.1,-0.0975,1
325,[34 61],d,-0.1,-0.07500000000000001,1
326,[35 61],u,-0.1,-0.12125000000000002,0
327,[34 61],u,-0.1,-0.08750000000000001,0
328,[33 61],l,-10,-5.0,3
329,[33 61],r,-0.1,-0.05,2
330,[33 60],l,-0.1,-0.07250000000000001,3
331,[33 61],d,-0.1,-0.1325,1
332,[34 61],l,-10,-8.783750000000001,3
333,[34 61],d,-0.1,-0.08750000000000001,1
334,[35 61],r,-10,-5.0,2
335,[35 61],l,-10,-7.5225,3
336,[35 61],d,-0.1,-0.0975,1
337,[36 61],u,-0.1,-0.13137500000000002,0
338,[35 61],r,-10,-7.543875,2
339,[35 61],l,-10,-8.805125,3
340,[35 61],d,-0.1,-0.12125000000000001,1
341,[36 61],l,-10,-7.5225,3
342,[36 61],u,-0.1,-0.17025,0
343,[35 61],d,-0.1,-0.13312500000000002,1
344,[36 61],d,-0.1,-0.07500000000000001,1
345,[37 61],d,-0.1,-0.0975,1
346,[38 61],d,-0.1,-0.0975,1
347,[39 61],l,-0.1,-0.07500000000000001,3
348,[39 62],d,-10,-5.0,1
349,[39 62],u,-10,-5.0,0
350,[39 62],l,-0.1,-0.07500000000000001,3
351,[39 63],u,-0.1,-0.05,0
352,[38 63],u,-0.1,-0.05,0
353,[37 63],u,-0.1,-0.05,0
354,[36 63],r,-10,-5.0,2
355,[36 63],d,-0.1,-0.05,1
356,[37 63],r,-10,-5.0,2
357,[37 63],l,-10,-5.0,3
358,[37 63],d,-0.1,-0.05,1
359,[38 63],l,-10,-5.0,3
360,[38 63],r,-10,-5.0,2
361,[38 63],r,-10,-7.5,2
362,[38 63],d,-0.1,-0.05,1
363,[39 63],l,-10,-5.0,3
364,[39 63],u,-0.1,-0.0975,0
365,[38 63],d,-0.1,-0.07500000000000001,1
366,[39 63],d,-0.1,-0.05,1
367,[40 63],u,-0.1,-0.07250000000000001,0
368,[39 63],r,-0.1,-0.0975,2
369,[39 62],u,-10,-7.5225,0
370,[39 62],r,-0.1,-0.107625,2
371,[39 61],r,-0.1,-0.10875000000000001,2
372,[39 60],r,-0.1,-0.10875000000000001,2
373,[39 59],l,-0.1,-0.13137500000000002,3
374,[39 60],l,-0.1,-0.1325,3
375,[39 61],u,-0.1,-0.12125000000000002,0
376,[38 61],u,-0.1,-0.08750000000000001,0
377,[37 61],d,-0.1,-0.138125,1
378,[38 61],u,-0.1,-0.09375,0
379,[37 61],l,-10,-5.0,3
380,[37 61],u,-0.1,-0.12125000000000002,0
381,[36 61],d,-0.1,-0.14206250000000004,1
382,[37 61],u,-0.1,-0.17455312500000003,0
383,[36 61],d,-0.1,-0.18318750000000003,1
384,[37 61],u,-0.1,-0.21388906250000003,0
385,[36 61],u,-0.1,-0.1896875,0
386,[35 61],u,-0.1,-0.15000000000000002,0
387,[34 61],r,-10,-7.539375,2
388,[34 61],u,-0.1,-0.11625000000000002,0
389,[33 61],r,-0.1,-0.07500000000000001,2
390,[33 60],u,-10,-5.0,0
391,[33 60],d,-10,-5.0,1
392,[33 60],r,-0.1,-0.05,2
393,[33 59],r,-0.1,-0.05,2
394,[33 58],l,-0.1,-0.05,3
395,[33 59],u,-10,-5.0,0
396,[33 59],u,-10,-7.5,0
397,[33 59],u,-10,-8.75,0
398,[33 59],d,-10,-5.0,1
399,[33 59],u,-10,-9.375,0
400,[33 59],l,-0.1,-0.07250000000000001,3
401,[33 60],r,-0.1,-0.0975,2
402,[33 59],u,-10,-9.71,0
403,[33 59],l,-0.1,-0.11887500000000001,3
404,[33 60],l,-0.1,-0.12000000000000002,3
405,[33 61],r,-0.1,-0.13137500000000002,2
406,[33 60],r,-0.1,-0.12125000000000001,2
407,[33 59],r,-0.1,-0.07500000000000001,2
408,[33 58],u,-10,-5.0,0
409,[33 58],l,-0.1,-0.10875000000000001,3
410,[33 59],d,-10,-7.53375,1
411,[33 59],r,-0.1,-0.08750000000000001,2
412,[33 58],d,-10,-5.0,1
413,[33 58],r,-0.1,-0.05,2
414,[33 57],u,-10,-5.0,0
415,[33 57],r,-0.1,-0.05,2
416,[33 56],l,-0.1,-0.05,3
417,[33 57],d,-10,-5.0,1
418,[33 57],l,-0.1,-0.07250000000000001,3
419,[33 58],r,-0.1,-0.0975,2
420,[33 57],r,-0.1,-0.07500000000000001,2
421,[33 56],d,-10,-5.0,1
422,[33 56],u,-10,-5.0,0
423,[33 56],r,-0.1,-0.05,2
424,[33 55],l,-0.1,-0.07250000000000001,3
425,[33 56],r,-0.1,-0.07500000000000001,2
426,[33 55],r,-0.1,-0.05,2
427,[33 54],l,-0.1,-0.05,3
428,[33 55],u,-10,-5.0,0
429,[33 55],d,-10,-5.0,1
430,[33 55],u,-10,-7.5225,0
431,[33 55],u,-10,-8.78375,0
432,[33 55],r,-0.1,-0.07500000000000001,2
433,[33 54],d,-10,-5.0,1
434,[33 54],r,-0.1,-0.05,2
435,[33 53],u,-10,-5.0,0
436,[33 53],d,-10,-5.0,1
437,[33 53],d,-10,-7.5,1
438,[33 53],u,-10,-7.5,0
439,[33 53],r,-0.1,-0.05,2
440,[33 52],l,-0.1,-0.05,3
441,[33 53],d,-10,-8.75,1
442,[33 53],l,-0.1,-0.05,3
443,[33 54],u,-10,-5.0,0
444,[33 54],r,-0.1,-0.0975,2
445,[33 53],u,-10,-8.7725,0
446,[33 53],l,-0.1,-0.0975,3
447,[33 54],l,-0.1,-0.107625,3
448,[33 55],d,-10,-7.532625,1
449,[33 55],u,-10,-9.4245,0
450,[33 55],l,-0.1,-0.10875000000000001,3
451,[33 56],l,-0.1,-0.107625,3
452,[33 57],l,-0.1,-0.13012500000000002,3
453,[33 58],r,-0.1,-0.1325,2
454,[33 57],d,-10,-7.53375,1
455,[33 57],r,-0.1,-0.12125000000000002,2
456,[33 56],r,-0.1,-0.12125000000000002,2
457,[33 55],d,-10,-8.800062500000001,1
458,[33 55],l,-0.1,-0.15280625,3
459,[33 56],l,-0.1,-0.15837500000000002,3
460,[33 57],r,-0.1,-0.16518750000000004,2
461,[33 56],r,-0.1,-0.14437500000000003,2
462,[33 55],r,-0.1,-0.13137500000000002,2
463,[33 54],r,-0.1,-0.12125000000000001,2
464,[33 53],r,-0.1,-0.07500000000000001,2
465,[33 52],r,-0.1,-0.05,2
466,[33 51],u,-10,-5.0,0
467,[33 51],r,-0.1,-0.05,2
468,[33 50],d,-10,-5.0,1
469,[33 50],l,-0.1,-0.05,3
470,[33 51],l,-0.1,-0.05,3
471,[33 52],d,-10,-5.0,1
472,[33 52],l,-0.1,-0.10875000000000001,3
473,[33 53],u,-10,-9.420000000000002,0
474,[33 53],d,-10,-9.408750000000001,1
475,[33 53],r,-0.1,-0.08750000000000001,2
476,[33 52],u,-10,-5.0,0
477,[33 52],r,-0.1,-0.07500000000000001,2
478,[33 51],d,-10,-5.0,1
479,[33 51],r,-0.1,-0.07500000000000001,2
480,[33 50],r,-0.1,-0.05,2
481,[33 49],d,-10,-5.0,1
482,[33 49],r,-0.1,-0.05,2
483,[33 48],d,-10,-5.0,1
484,[33 48],r,-0.1,-0.05,2
485,[33 47],l,-0.1,-0.05,3
486,[33 48],l,-0.1,-0.05,3
487,[33 49],r,-0.1,-0.07500000000000001,2
488,[33 48],u,-10,-5.0,0
489,[33 48],l,-0.1,-0.07500000000000001,3
490,[33 49],u,-10,-5.0,0
491,[33 49],l,-0.1,-0.05,3
492,[33 50],u,-10,-5.0,0
493,[33 50],r,-0.1,-0.0975,2
494,[33 49],l,-0.1,-0.0975,3
495,[33 50],l,-0.1,-0.0975,3
496,[33 51],l,-0.1,-0.10875000000000001,3
497,[33 52],r,-0.1,-0.12125000000000002,2
498,[33 51],r,-0.1,-0.13137500000000002,2
499,[33 50],r,-0.1,-0.1325,2
500,[33 49],r,-0.1,-0.11000000000000001,2
501,[33 48],d,-10,-7.5225,1
502,[33 48],r,-0.1,-0.07500000000000001,2
503,[33 47],d,-10,-5.0,1
504,[33 47],u,-0.1,-0.05,0
505,[32 47],r,-10,-5.0,2
506,[32 47],d,-0.1,-0.05,1
507,[33 47],r,-10,-5.0,2
508,[33 47],u,-0.1,-0.07500000000000001,0
509,[32 47],u,-0.1,-0.05,0
510,[31 47],l,-10,-5.0,3
511,[31 47],r,-10,-5.0,2
512,[31 47],u,-0.1,-0.05,0
513,[30 47],u,-0.1,-0.05,0
514,[29 47],r,-10,-5.0,2
515,[29 47],u,-0.1,-0.05,0
516,[28 47],r,-10,-5.0,2
517,[28 47],u,-0.1,-0.05,0
518,[27 47],l,-10,-5.0,3
519,[27 47],r,-10,-5.0,2
520,[27 47],u,-0.1,-0.05,0
521,[26 47],d,-0.1,-0.05,1
522,[27 47],d,-0.1,-0.05,1
523,[28 47],u,-0.1,-0.0975,0
524,[27 47],u,-0.1,-0.07500000000000001,0
525,[26 47],l,-10,-5.0,3
526,[26 47],r,-10,-5.0,2
527,[26 47],r,-10,-7.5,2
528,[26 47],l,-10,-7.5,3
529,[26 47],u,-0.1,-0.05,0
530,[25 47],r,-0.1,-0.05,2
531,[25 46],d,-10,-5.0,1
532,[25 46],l,-0.1,-0.05,3
533,[25 47],d,-0.1,-0.07250000000000001,1
534,[26 47],u,-0.1,-0.07500000000000001,0
535,[25 47],u,-10,-5.0,0
536,[25 47],l,-10,-5.0,3
537,[25 47],r,-0.1,-0.07500000000000001,2
538,[25 46],l,-0.1,-0.107625,3
539,[25 47],l,-10,-7.532625,3
540,[25 47],d,-0.1,-0.10875000000000001,1
541,[26 47],d,-0.1,-0.0975,1
542,[27 47],d,-0.1,-0.07500000000000001,1
543,[28 47],u,-0.1,-0.1325,0
544,[27 47],r,-10,-7.53375,2
545,[27 47],d,-0.1,-0.08750000000000001,1
546,[28 47],l,-10,-5.0,3
547,[28 47],d,-0.1,-0.05,1
548,[29 47],d,-0.1,-0.05,1
549,[30 47],r,-10,-5.0,2
550,[30 47],l,-10,-5.0,3
551,[30 47],d,-0.1,-0.05,1
552,[31 47],d,-0.1,-0.05,1
553,[32 47],l,-10,-5.0,3
554,[32 47],u,-0.1,-0.0975,0
555,[31 47],u,-0.1,-0.0975,0
556,[30 47],d,-0.1,-0.0975,1
557,[31 47],u,-0.1,-0.12125000000000001,0
558,[30 47],u,-0.1,-0.07500000000000001,0
559,[29 47],l,-10,-5.0,3
560,[29 47],u,-0.1,-0.0975,0
561,[28 47],d,-0.1,-0.0975,1
562,[29 47],d,-0.1,-0.10875000000000001,1
563,[30 47],r,-10,-7.53375,2
564,[30 47],d,-0.1,-0.12125000000000001,1
565,[31 47],l,-10,-7.5225,3
566,[31 47],d,-0.1,-0.0975,1
567,[32 47],d,-0.1,-0.0975,1
568,[33 47],l,-0.1,-0.10875000000000001,3
569,[33 48],d,-10,-8.795,1
570,[33 48],l,-0.1,-0.13137500000000002,3
571,[33 49],l,-0.1,-0.142625,3
572,[33 50],l,-0.1,-0.14768750000000003,3
573,[33 51],l,-0.1,-0.15331250000000002,3
574,[33 52],l,-0.1,-0.14375000000000002,3
575,[33 53],r,-0.1,-0.1483125,2
576,[33 52],r,-0.1,-0.16974375000000003,2
577,[33 51],r,-0.1,-0.1753125,2
578,[33 50],d,-10,-7.559625,1
579,[33 50],r,-0.1,-0.16575,2
580,[33 49],r,-0.1,-0.13875000000000004,2
581,[33 48],r,-0.1,-0.12125000000000002,2
582,[33 47],u,-0.1,-0.13137500000000002,0
583,[32 47],d,-0.1,-0.14768750000000003,1
584,[33 47],u,-0.1,-0.15956250000000002,0
585,[32 47],u,-0.1,-0.142625,0
586,[31 47],d,-0.1,-0.16293125000000003,1
587,[32 47],u,-0.1,-0.175875,0
588,[31 47],u,-0.1,-0.14437500000000003,0
589,[30 47],u,-0.1,-0.13137500000000002,0
590,[29 47],u,-0.1,-0.142625,0
591,[28 47],r,-10,-7.543875,2
592,[28 47],d,-0.1,-0.14768750000000003,1
593,[29 47],d,-0.1,-0.1589375,1
594,[30 47],u,-0.1,-0.17986875000000002,0
595,[29 47],u,-0.1,-0.1809375,0
596,[28 47],u,-0.1,-0.15000000000000002,0
597,[27 47],u,-0.1,-0.12125000000000002,0
598,[26 47],d,-0.1,-0.138125,1
599,[27 47],d,-0.1,-0.16020937500000004,1
600,[28 47],d,-0.1,-0.19536562500000004,1
601,[29 47],d,-0.1,-0.18403125,1
602,[30 47],d,-0.1,-0.17559375000000002,1
603,[31 47],l,-10,-8.82621875,3
604,[31 47],u,-0.1,-0.20120468750000003,0
605,[30 47],d,-0.1,-0.21111593750000002,1
606,[31 47],d,-0.1,-0.19792500000000002,1
607,[32 47],d,-0.1,-0.17278125000000003,1
608,[33 47],l,-0.1,-0.1589375,3
609,[33 48],r,-0.1,-0.18214687500000004,2
610,[33 47],r,-10,-7.571521875,2
611,[33 47],l,-0.1,-0.18858750000000002,3
612,[33 48],u,-10,-7.55911875,0
613,[33 48],d,-10,-9.45661875,1
614,[33 48],l,-0.1,-0.17812500000000003,3
615,[33 49],r,-0.1,-0.19953125000000005,2
616,[33 48],l,-0.1,-0.20324375000000003,3
617,[33 49],r,-0.1,-0.23173171875000004,2
618,[33 48],r,-0.1,-0.21287656250000003,2
619,[33 47],r,-10,-8.8575640625,2
620,[33 47],d,-10,-7.571803125,1
621,[33 47],l,-0.1,-0.23575343750000002,3
622,[33 48],d,-10,-9.8197690625,1
623,[33 48],r,-0.1,-0.22824140625000003,2
624,[33 47],d,-10,-8.8577046875,1
