,state,action_space,reward,Q,action
8584,[43 44],l,-0.1,-0.34228541279296876,3
8585,[43 45],d,-10,-7.638506831542969,1
8586,[43 45],l,-0.1,-0.3397354763671875,3
8587,[43 46],l,-0.1,-0.33711994277343754,3
8588,[43 47],d,-0.1,-0.326567778515625,1
8589,[44 47],u,-0.1,-0.3409034375,0
8590,[43 47],r,-0.1,-0.3448497849042969,2
8591,[43 46],r,-0.1,-0.35701828154785165,2
8592,[43 45],r,-0.1,-0.3599450889746094,2
8593,[43 44],l,-0.1,-0.3740236707617188,3
8594,[43 45],d,-10,-8.972134380136719,1
8595,[43 45],l,-0.1,-0.37157171243164067,3
8596,[43 46],l,-0.1,-0.36551547171875,3
8597,[43 47],u,-10,-9.53320550033203,0
8598,[43 47],d,-0.1,-0.3385319744140625,1
8599,[44 47],d,-0.1,-0.3195413515625001,1
8600,[45 47],r,-0.1,-0.31782527343750006,2
8601,[45 46],r,-0.1,-0.292006171875,2
8602,[45 45],d,-0.1,-0.27278036718750004,1
8603,[46 45],d,-0.1,-0.27681816796875003,1
8604,[47 45],r,-0.1,-0.27792625859375003,2
8605,[47 44],l,-0.1,-0.28749351171875004,3
8606,[47 45],u,-0.1,-0.29984703125000006,0
8607,[46 45],u,-0.1,-0.30309296210937503,0
8608,[45 45],u,-10,-9.514626165234375,0
8609,[45 45],d,-0.1,-0.3109583591796875,1
8610,[46 45],d,-0.1,-0.31347590035156253,1
8611,[47 45],d,-10,-9.527629316367188,1
8612,[47 45],r,-0.1,-0.31048012031250005,2
8613,[47 44],r,-0.1,-0.29675015234375,2
8614,[47 43],l,-0.1,-0.30351793964843754,3
8615,[47 44],l,-0.1,-0.3225414940429688,3
8616,[47 45],l,-0.1,-0.30930767480468757,3
8617,[47 46],l,-0.1,-0.2983632850976563,3
8618,[47 47],u,-10,-7.619249496035156,0
8619,[47 47],r,-0.1,-0.3079485890625,2
8620,[47 46],r,-0.1,-0.32431910742187503,2
8621,[47 45],u,-0.1,-0.33631534857421885,0
8622,[46 45],d,-0.1,-0.34592640383789064,1
8623,[47 45],l,-0.1,-0.33891731569628913,3
8624,[47 46],l,-0.1,-0.332959477265625,3
8625,[47 47],l,-0.1,-0.33046964955371094,3
8626,[47 48],l,-0.1,-0.3296477488964844,3
8627,[47 49],u,-0.1,-0.3245217744140625,0
8628,[46 49],d,-0.1,-0.3277135211621094,1
8629,[47 49],u,-0.1,-0.3468177695703125,0
8630,[46 49],u,-0.1,-0.3377604536132813,0
8631,[45 49],d,-0.1,-0.35108531401513676,1
8632,[46 49],d,-0.1,-0.3509567368212891,1
8633,[47 49],d,-10,-8.916912476240235,1
8634,[47 49],r,-0.1,-0.3380265029121094,2
8635,[47 48],r,-0.1,-0.33934708283203124,2
8636,[47 47],l,-0.1,-0.36357631178027344,3
8637,[47 48],l,-0.1,-0.3669358007586914,3
8638,[47 49],r,-0.1,-0.37171943873046875,2
8639,[47 48],r,-0.1,-0.35825040649414064,2
8640,[47 47],l,-0.1,-0.39300083881250003,3
8641,[47 48],r,-0.1,-0.3677020683251953,2
8642,[47 47],r,-0.1,-0.34991789287109376,2
8643,[47 46],r,-0.1,-0.3518756078515626,2
8644,[47 45],u,-0.1,-0.3545495072363282,0
8645,[46 45],u,-0.1,-0.3261536241796875,0
8646,[45 45],l,-0.1,-0.31985515859375,3
8647,[45 46],r,-0.1,-0.3359343475683594,2
8648,[45 45],d,-0.1,-0.35224831047070315,1
